--------- beginning of main
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.libcore.readonly is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.settingslib.widget.selectorwithwidgetpreference.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.notification is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.systemui.shared is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.jank is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.wearable is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.audio is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.chooser is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.compat is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.alarm is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.apex.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.quickaccesswallet is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.usage is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.accessibility is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.supervision.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.utils is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.chre.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.content.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.media.codec is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.os is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.nfc.nci.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.security.keystore2 is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.tradeinmode.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.hardware.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.telecom.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.settingslib.media.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.policy is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.media.audiopolicy is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.egg.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.compat.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.security is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.autofill is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.example.android.aconfig.demo.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.view.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.companion.virtual.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.aconfig_new_storage is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.feature.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.systemui is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.power.batterysaver is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.widget.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.editing.flags is mapped to system
